Disease,Symptoms,Medicines,Brand Names,Dosages,Prices (INR)
Anxiety,"Joint pain, Cough, Sore throat, Rash","Omeprazole, Paracetamol","Omez, Zinetac","5mg, 200mg","100, 75"
Bronchitis,"Sore throat, Headache, Pain, Chills","Cetirizine, Ranitidine","Augmentin, Azithral","10mg, 200mg","20, 150"
Bronchitis,"Fatigue, Nausea, Cough, Joint pain","Amoxicillin, Metronidazole","Augmentin, Ciplox","5mg, 200mg","100, 50"
Flu,"Dizziness, Sore throat, Chills, Chest tightness","Amoxicillin, Paracetamol","Claritine, Brufen","250mg, 200mg","30, 50"
Hepatitis,"Fever, Headache, Itching, Shortness of breath","Cetirizine, Amoxicillin","Alerid, Omez","1g, 5mg","20, 75"
Dengue,"Fever, Headache, Shortness of breath, Pain","Ibuprofen, Omeprazole","Zinetac, Augmentin","200mg, 100mg","100, 50"
Acne,"Headache, Fatigue, Sore throat, Pain","Ciprofloxacin, Ranitidine","Brufen, Flagyl","5mg, 100mg","100, 200"
Ear Infection,"Pain, Headache, Fever, Sweating","Amoxicillin, Ranitidine","Augmentin, Crocin","5mg, 1g","200, 75"
Eye Infection,"Sweating, Weight loss, Fever, Pain","Ibuprofen, Amoxicillin","Claritine, Brufen","1g, 200mg","150, 50"
Constipation,"Chills, Rash, Fatigue, Nausea","Ibuprofen, Amoxicillin","Zinetac, Flagyl","100mg, 500mg","200, 30"
Insomnia,"Joint pain, Vomiting, Weight loss, Shortness of breath","Ibuprofen, Amoxicillin","Ciplox, Crocin","100mg, 5mg","50, 20"
Glaucoma,"Fever, Chills, Joint pain, Nausea","Ibuprofen, Loratadine","Augmentin, Azithral","200mg, 1g","50, 150"
Allergy,"Fatigue, Sweating, Pain, Shortness of breath","Metronidazole, Omeprazole","Ciplox, Zinetac","100mg, 200mg","150, 200"
HIV,"Itching, Fatigue, Fever, Dizziness","Amoxicillin, Omeprazole","Ciplox, Crocin","10mg, 200mg","30, 100"
Gout,"Itching, Fatigue, Weight loss, Shortness of breath","Ibuprofen, Loratadine","Crocin, Zinetac","250mg, 10mg","75, 20"
HIV,"Vomiting, Headache, Joint pain, Chills","Metronidazole, Ciprofloxacin","Brufen, Azithral","5mg, 500mg","200, 50"
Common Cold,"Fever, Weight loss, Sore throat, Shortness of breath","Ranitidine, Omeprazole","Brufen, Azithral","10mg, 500mg","50, 200"
Depression,"Joint pain, Sweating, Chills, Weight loss","Metronidazole, Loratadine","Claritine, Alerid","5mg, 1g","50, 100"
Flu,"Headache, Cough, Chest tightness, Vomiting","Paracetamol, Azithromycin","Alerid, Azithral","200mg, 500mg","200, 150"
Flu,"Weight loss, Vomiting, Headache, Chills","Ibuprofen, Azithromycin","Omez, Flagyl","5mg, 100mg","30, 20"
COVID-19,"Dizziness, Sweating, Chest tightness, Sore throat","Ranitidine, Omeprazole","Azithral, Alerid","500mg, 100mg","150, 20"
Gastritis,"Fever, Vomiting, Headache, Weight loss","Paracetamol, Cetirizine","Azithral, Zinetac","200mg, 5mg","75, 200"
Acne,"Fever, Cough, Rash, Fatigue","Ciprofloxacin, Metronidazole","Ciplox, Claritine","1g, 500mg","20, 50"
Eye Infection,"Nausea, Chest tightness, Vomiting, Itching","Ranitidine, Amoxicillin","Azithral, Brufen","200mg, 500mg","75, 20"
Ear Infection,"Itching, Fever, Cough, Pain","Ibuprofen, Ciprofloxacin","Augmentin, Ciplox","250mg, 10mg","100, 75"
COVID-19,"Nausea, Vomiting, Pain, Headache","Loratadine, Ibuprofen","Augmentin, Crocin","5mg, 200mg","20, 200"
COVID-19,"Fever, Chills, Pain, Chest tightness","Omeprazole, Cetirizine","Claritine, Augmentin","10mg, 200mg","200, 50"
Flu,"Sweating, Dizziness, Sore throat, Fever","Ibuprofen, Ciprofloxacin","Azithral, Augmentin","250mg, 10mg","20, 100"
Cholera,"Vomiting, Pain, Dizziness, Chills","Cetirizine, Ibuprofen","Azithral, Zinetac","1g, 5mg","50, 75"
Diarrhea,"Weight loss, Sweating, Rash, Itching","Paracetamol, Ranitidine","Azithral, Claritine","500mg, 100mg","30, 150"
Diarrhea,"Sore throat, Nausea, Cough, Fever","Amoxicillin, Loratadine","Omez, Azithral","250mg, 200mg","50, 75"
Constipation,"Chest tightness, Fever, Dizziness, Sweating","Amoxicillin, Paracetamol","Flagyl, Claritine","200mg, 1g","50, 30"
Insomnia,"Chills, Dizziness, Headache, Pain","Amoxicillin, Paracetamol","Flagyl, Augmentin","200mg, 1g","30, 75"
Flu,"Fever, Weight loss, Joint pain, Nausea","Paracetamol, Omeprazole","Ciplox, Crocin","100mg, 5mg","200, 50"
COVID-19,"Chest tightness, Headache, Vomiting, Sweating","Amoxicillin, Loratadine","Claritine, Brufen","1g, 10mg","75, 20"
Gastritis,"Rash, Fatigue, Nausea, Itching","Ibuprofen, Ranitidine","Augmentin, Alerid","5mg, 250mg","20, 50"
Common Cold,"Fatigue, Itching, Joint pain, Weight loss","Amoxicillin, Azithromycin","Augmentin, Flagyl","100mg, 250mg","100, 50"
Eye Infection,"Fatigue, Vomiting, Sore throat, Fever","Cetirizine, Metronidazole","Azithral, Crocin","250mg, 100mg","75, 100"
Common Cold,"Weight loss, Joint pain, Cough, Nausea","Loratadine, Cetirizine","Augmentin, Azithral","10mg, 250mg","50, 100"
Gastritis,"Weight loss, Chills, Sweating, Sore throat","Azithromycin, Ranitidine","Claritine, Alerid","1g, 10mg","75, 30"
Gout,"Shortness of breath, Itching, Sweating, Weight loss","Loratadine, Metronidazole","Zinetac, Omez","1g, 250mg","200, 20"
Depression,"Headache, Itching, Weight loss, Chills","Cetirizine, Ciprofloxacin","Claritine, Alerid","200mg, 250mg","150, 100"
Glaucoma,"Headache, Nausea, Cough, Joint pain","Ibuprofen, Loratadine","Omez, Augmentin","500mg, 1g","20, 75"
Constipation,"Pain, Rash, Fatigue, Weight loss","Ciprofloxacin, Omeprazole","Zinetac, Brufen","5mg, 1g","50, 100"
Back Pain,"Rash, Shortness of breath, Pain, Dizziness","Omeprazole, Metronidazole","Ciplox, Claritine","500mg, 200mg","100, 30"
Gastritis,"Joint pain, Fever, Rash, Chills","Paracetamol, Ciprofloxacin","Flagyl, Brufen","200mg, 1g","30, 150"
Common Cold,"Rash, Itching, Pain, Weight loss","Loratadine, Paracetamol","Ciplox, Crocin","100mg, 250mg","50, 200"
Diarrhea,"Itching, Sore throat, Fever, Fatigue","Loratadine, Amoxicillin","Omez, Zinetac","10mg, 1g","20, 30"
Gastritis,"Itching, Shortness of breath, Headache, Fatigue","Ranitidine, Ciprofloxacin","Omez, Zinetac","1g, 10mg","200, 50"
Depression,"Sore throat, Pain, Itching, Weight loss","Paracetamol, Ranitidine","Omez, Flagyl","10mg, 1g","200, 150"
Back Pain,"Sweating, Rash, Fatigue, Chills","Azithromycin, Ciprofloxacin","Brufen, Claritine","250mg, 100mg","30, 20"
Common Cold,"Dizziness, Sore throat, Vomiting, Rash","Amoxicillin, Ibuprofen","Azithral, Brufen","200mg, 250mg","30, 20"
Diarrhea,"Dizziness, Headache, Chills, Vomiting","Cetirizine, Azithromycin","Azithral, Alerid","10mg, 500mg","30, 20"
Depression,"Chest tightness, Chills, Fever, Headache","Metronidazole, Ranitidine","Augmentin, Brufen","5mg, 10mg","30, 200"
Indigestion,"Vomiting, Joint pain, Shortness of breath, Nausea","Ibuprofen, Metronidazole","Claritine, Flagyl","200mg, 250mg","20, 150"
Dengue,"Rash, Chest tightness, Dizziness, Itching","Azithromycin, Cetirizine","Crocin, Brufen","500mg, 5mg","75, 100"
Indigestion,"Itching, Fatigue, Fever, Pain","Omeprazole, Loratadine","Alerid, Zinetac","250mg, 500mg","200, 30"
Bronchitis,"Joint pain, Shortness of breath, Rash, Chills","Ciprofloxacin, Loratadine","Zinetac, Crocin","250mg, 200mg","20, 30"
Back Pain,"Rash, Cough, Fever, Chest tightness","Ranitidine, Omeprazole","Crocin, Brufen","5mg, 100mg","30, 50"
COVID-19,"Chest tightness, Pain, Weight loss, Rash","Paracetamol, Cetirizine","Augmentin, Crocin","10mg, 5mg","200, 75"
Acne,"Joint pain, Itching, Fever, Nausea","Metronidazole, Loratadine","Alerid, Brufen","250mg, 500mg","200, 20"
Depression,"Chills, Fatigue, Rash, Vomiting","Azithromycin, Cetirizine","Augmentin, Zinetac","200mg, 10mg","150, 20"
Flu,"Dizziness, Sweating, Fatigue, Chest tightness","Amoxicillin, Ciprofloxacin","Brufen, Ciplox","5mg, 1g","50, 20"
Cholera,"Weight loss, Chest tightness, Dizziness, Shortness of breath","Azithromycin, Omeprazole","Claritine, Flagyl","1g, 200mg","75, 150"
Dengue,"Nausea, Dizziness, Fever, Weight loss","Azithromycin, Loratadine","Omez, Claritine","200mg, 100mg","30, 150"
Epilepsy,"Itching, Pain, Fatigue, Vomiting","Paracetamol, Omeprazole","Alerid, Azithral","500mg, 100mg","50, 150"
Alzheimer's,"Chest tightness, Cough, Dizziness, Joint pain","Loratadine, Ibuprofen","Azithral, Alerid","200mg, 100mg","75, 200"
Glaucoma,"Fatigue, Fever, Headache, Chills","Amoxicillin, Cetirizine","Ciplox, Crocin","1g, 10mg","50, 20"
HIV,"Vomiting, Sore throat, Headache, Joint pain","Ciprofloxacin, Azithromycin","Zinetac, Crocin","200mg, 500mg","75, 20"
Diarrhea,"Itching, Chest tightness, Nausea, Rash","Ciprofloxacin, Metronidazole","Flagyl, Claritine","200mg, 1g","200, 50"
Gout,"Cough, Chest tightness, Vomiting, Joint pain","Azithromycin, Ranitidine","Ciplox, Omez","5mg, 500mg","200, 150"
COVID-19,"Headache, Vomiting, Weight loss, Joint pain","Amoxicillin, Azithromycin","Brufen, Azithral","250mg, 500mg","50, 150"
Epilepsy,"Weight loss, Chills, Cough, Nausea","Metronidazole, Ranitidine","Azithral, Omez","1g, 200mg","30, 20"
COVID-19,"Nausea, Fever, Itching, Cough","Amoxicillin, Ibuprofen","Crocin, Omez","10mg, 250mg","20, 75"
COVID-19,"Chest tightness, Weight loss, Joint pain, Shortness of breath","Ranitidine, Omeprazole","Augmentin, Brufen","1g, 200mg","30, 150"
Acne,"Rash, Headache, Cough, Fatigue","Amoxicillin, Metronidazole","Augmentin, Alerid","200mg, 100mg","75, 20"
Ear Infection,"Fever, Chills, Headache, Dizziness","Ciprofloxacin, Paracetamol","Flagyl, Ciplox","100mg, 10mg","75, 200"
Constipation,"Weight loss, Shortness of breath, Fever, Chest tightness","Ranitidine, Omeprazole","Azithral, Crocin","5mg, 250mg","150, 50"
Anxiety,"Shortness of breath, Sweating, Headache, Itching","Omeprazole, Ciprofloxacin","Claritine, Zinetac","250mg, 10mg","30, 50"
Gout,"Chest tightness, Rash, Sore throat, Cough","Cetirizine, Paracetamol","Crocin, Brufen","5mg, 250mg","100, 75"
Allergy,"Dizziness, Joint pain, Itching, Fever","Ranitidine, Loratadine","Ciplox, Omez","5mg, 10mg","50, 20"
Depression,"Weight loss, Joint pain, Itching, Sore throat","Ciprofloxacin, Ibuprofen","Ciplox, Azithral","200mg, 500mg","20, 75"
Insomnia,"Joint pain, Weight loss, Sweating, Vomiting","Ranitidine, Omeprazole","Crocin, Azithral","250mg, 10mg","200, 50"
Dengue,"Headache, Chest tightness, Fatigue, Pain","Ibuprofen, Azithromycin","Brufen, Augmentin","5mg, 250mg","50, 20"
Chickenpox,"Weight loss, Vomiting, Chills, Dizziness","Cetirizine, Paracetamol","Brufen, Zinetac","500mg, 1g","150, 200"
Allergy,"Cough, Shortness of breath, Fever, Pain","Ibuprofen, Omeprazole","Augmentin, Azithral","1g, 200mg","50, 30"
Chickenpox,"Fever, Rash, Sweating, Nausea","Metronidazole, Amoxicillin","Zinetac, Ciplox","10mg, 1g","150, 200"
Gastritis,"Joint pain, Sore throat, Weight loss, Nausea","Azithromycin, Metronidazole","Brufen, Ciplox","500mg, 10mg","30, 100"
Cholera,"Headache, Weight loss, Sweating, Shortness of breath","Azithromycin, Cetirizine","Augmentin, Claritine","1g, 200mg","150, 50"
Common Cold,"Chills, Fatigue, Weight loss, Nausea","Metronidazole, Cetirizine","Flagyl, Claritine","500mg, 1g","50, 30"
Bronchitis,"Sore throat, Fatigue, Nausea, Fever","Cetirizine, Omeprazole","Zinetac, Augmentin","100mg, 200mg","200, 150"
Allergy,"Chest tightness, Headache, Vomiting, Sore throat","Ciprofloxacin, Ibuprofen","Ciplox, Azithral","100mg, 500mg","200, 20"
Depression,"Itching, Headache, Sweating, Cough","Ibuprofen, Ciprofloxacin","Augmentin, Claritine","5mg, 1g","100, 50"
Glaucoma,"Rash, Joint pain, Headache, Weight loss","Ciprofloxacin, Ranitidine","Brufen, Claritine","200mg, 100mg","75, 20"
Constipation,"Headache, Weight loss, Dizziness, Fever","Omeprazole, Paracetamol","Ciplox, Omez","1g, 200mg","50, 20"
Flu,"Chills, Weight loss, Vomiting, Sweating","Loratadine, Cetirizine","Zinetac, Flagyl","100mg, 5mg","30, 75"
Gout,"Sore throat, Itching, Sweating, Cough","Paracetamol, Loratadine","Ciplox, Alerid","500mg, 5mg","20, 200"
COVID-19,"Pain, Headache, Joint pain, Rash","Metronidazole, Ciprofloxacin","Omez, Azithral","500mg, 100mg","50, 200"
Eye Infection,"Itching, Cough, Sweating, Rash","Loratadine, Azithromycin","Augmentin, Omez","500mg, 1g","100, 200"
Insomnia,"Dizziness, Fever, Rash, Nausea","Paracetamol, Ibuprofen","Augmentin, Omez","10mg, 250mg","50, 150"
Hepatitis,"Pain, Fatigue, Fever, Vomiting","Omeprazole, Amoxicillin","Augmentin, Ciplox","200mg, 1g","150, 75"
Chickenpox,"Dizziness, Weight loss, Chills, Sweating","Ranitidine, Metronidazole","Claritine, Crocin","1g, 10mg","75, 150"
Indigestion,"Itching, Cough, Chills, Vomiting","Ibuprofen, Ciprofloxacin","Brufen, Omez","5mg, 500mg","75, 150"
Gout,"Weight loss, Fatigue, Headache, Sweating","Metronidazole, Ciprofloxacin","Omez, Ciplox","10mg, 5mg","200, 50"
Allergy,"Headache, Fever, Dizziness, Itching","Omeprazole, Loratadine","Alerid, Azithral","10mg, 250mg","200, 20"
Hepatitis,"Headache, Itching, Joint pain, Fatigue","Cetirizine, Paracetamol","Brufen, Claritine","10mg, 200mg","75, 30"
COVID-19,"Cough, Chest tightness, Chills, Nausea","Metronidazole, Ranitidine","Azithral, Augmentin","1g, 5mg","50, 30"
Depression,"Sore throat, Pain, Joint pain, Chest tightness","Amoxicillin, Loratadine","Augmentin, Crocin","500mg, 200mg","200, 100"
Allergy,"Joint pain, Shortness of breath, Fatigue, Chest tightness","Amoxicillin, Omeprazole","Brufen, Omez","100mg, 5mg","100, 30"
Diarrhea,"Fatigue, Chills, Chest tightness, Shortness of breath","Azithromycin, Paracetamol","Alerid, Omez","500mg, 250mg","75, 200"
Gout,"Fatigue, Sore throat, Fever, Chest tightness","Loratadine, Azithromycin","Flagyl, Azithral","500mg, 1g","50, 150"
Gout,"Joint pain, Sore throat, Vomiting, Cough","Ibuprofen, Amoxicillin","Alerid, Claritine","200mg, 1g","100, 200"
Hepatitis,"Shortness of breath, Fatigue, Sore throat, Rash","Ranitidine, Azithromycin","Zinetac, Augmentin","250mg, 100mg","50, 75"
Eye Infection,"Chills, Headache, Fatigue, Cough","Amoxicillin, Ranitidine","Azithral, Omez","500mg, 100mg","200, 30"
HIV,"Shortness of breath, Cough, Rash, Headache","Cetirizine, Ciprofloxacin","Augmentin, Flagyl","1g, 5mg","150, 50"
Back Pain,"Chills, Rash, Fatigue, Shortness of breath","Amoxicillin, Ciprofloxacin","Brufen, Augmentin","250mg, 5mg","30, 200"
Constipation,"Cough, Sweating, Dizziness, Pain","Ibuprofen, Amoxicillin","Azithral, Zinetac","500mg, 100mg","100, 50"
Common Cold,"Chills, Nausea, Chest tightness, Dizziness","Azithromycin, Metronidazole","Ciplox, Brufen","250mg, 1g","100, 30"
Chickenpox,"Chest tightness, Fatigue, Chills, Dizziness","Ciprofloxacin, Ranitidine","Alerid, Azithral","500mg, 200mg","150, 20"
Chickenpox,"Joint pain, Cough, Headache, Sweating","Ibuprofen, Omeprazole","Azithral, Crocin","500mg, 5mg","30, 100"
Bronchitis,"Chills, Headache, Weight loss, Pain","Omeprazole, Paracetamol","Ciplox, Azithral","200mg, 500mg","150, 30"
Eye Infection,"Rash, Shortness of breath, Pain, Chest tightness","Ciprofloxacin, Omeprazole","Flagyl, Alerid","500mg, 100mg","75, 100"
Eye Infection,"Headache, Fever, Nausea, Shortness of breath","Cetirizine, Amoxicillin","Crocin, Omez","200mg, 500mg","50, 150"
HIV,"Vomiting, Weight loss, Rash, Shortness of breath","Metronidazole, Azithromycin","Zinetac, Alerid","200mg, 100mg","75, 200"
Glaucoma,"Chest tightness, Sore throat, Shortness of breath, Nausea","Omeprazole, Azithromycin","Claritine, Augmentin","250mg, 100mg","20, 150"
Allergy,"Joint pain, Chest tightness, Vomiting, Itching","Omeprazole, Ciprofloxacin","Augmentin, Zinetac","100mg, 1g","100, 20"
Insomnia,"Headache, Chills, Sore throat, Rash","Cetirizine, Loratadine","Crocin, Ciplox","10mg, 500mg","150, 20"
Flu,"Chills, Sore throat, Rash, Cough","Ranitidine, Loratadine","Ciplox, Azithral","500mg, 250mg","200, 30"
Back Pain,"Headache, Chest tightness, Shortness of breath, Chills","Azithromycin, Cetirizine","Claritine, Crocin","500mg, 250mg","30, 75"
COVID-19,"Sore throat, Dizziness, Vomiting, Rash","Ibuprofen, Amoxicillin","Brufen, Flagyl","250mg, 5mg","50, 30"
Indigestion,"Headache, Shortness of breath, Sore throat, Nausea","Ranitidine, Cetirizine","Crocin, Ciplox","250mg, 100mg","75, 20"
Ear Infection,"Dizziness, Chest tightness, Weight loss, Cough","Metronidazole, Ranitidine","Brufen, Claritine","5mg, 200mg","100, 75"
Allergy,"Itching, Headache, Sweating, Weight loss","Cetirizine, Paracetamol","Claritine, Brufen","1g, 200mg","150, 200"
Chickenpox,"Sweating, Joint pain, Itching, Rash","Paracetamol, Omeprazole","Brufen, Alerid","5mg, 1g","20, 150"
Ear Infection,"Rash, Chills, Sore throat, Dizziness","Azithromycin, Metronidazole","Zinetac, Azithral","500mg, 10mg","150, 75"
Ear Infection,"Chest tightness, Fatigue, Fever, Nausea","Ranitidine, Ciprofloxacin","Ciplox, Zinetac","100mg, 5mg","100, 75"
Cholera,"Fatigue, Chest tightness, Joint pain, Chills","Metronidazole, Ibuprofen","Ciplox, Azithral","1g, 100mg","150, 20"
Hepatitis,"Nausea, Fatigue, Weight loss, Sore throat","Loratadine, Azithromycin","Zinetac, Brufen","1g, 500mg","100, 50"
Flu,"Joint pain, Weight loss, Vomiting, Sweating","Ibuprofen, Ranitidine","Zinetac, Brufen","500mg, 100mg","50, 100"
Dengue,"Sweating, Cough, Nausea, Pain","Amoxicillin, Metronidazole","Alerid, Augmentin","1g, 500mg","200, 30"
Acne,"Fever, Rash, Pain, Nausea","Metronidazole, Amoxicillin","Flagyl, Azithral","5mg, 250mg","20, 50"
Dengue,"Chills, Chest tightness, Itching, Rash","Ibuprofen, Loratadine","Crocin, Flagyl","10mg, 500mg","150, 30"
Bronchitis,"Cough, Weight loss, Fatigue, Headache","Omeprazole, Amoxicillin","Zinetac, Crocin","250mg, 200mg","50, 100"
Common Cold,"Sore throat, Headache, Fever, Chest tightness","Amoxicillin, Azithromycin","Flagyl, Claritine","1g, 200mg","30, 150"
Epilepsy,"Joint pain, Pain, Chills, Itching","Omeprazole, Ibuprofen","Ciplox, Azithral","500mg, 5mg","30, 20"
Acne,"Rash, Sweating, Vomiting, Nausea","Cetirizine, Metronidazole","Alerid, Claritine","100mg, 200mg","200, 100"
Hepatitis,"Dizziness, Fatigue, Chest tightness, Chills","Loratadine, Amoxicillin","Omez, Zinetac","250mg, 200mg","30, 100"
Epilepsy,"Chest tightness, Shortness of breath, Sore throat, Dizziness","Ibuprofen, Metronidazole","Zinetac, Augmentin","100mg, 5mg","75, 30"
Flu,"Fatigue, Vomiting, Chest tightness, Chills","Amoxicillin, Ibuprofen","Crocin, Ciplox","100mg, 1g","100, 75"
Depression,"Fever, Sweating, Pain, Rash","Ranitidine, Metronidazole","Azithral, Claritine","500mg, 250mg","200, 150"
Flu,"Itching, Vomiting, Sweating, Shortness of breath","Ciprofloxacin, Ranitidine","Claritine, Alerid","10mg, 100mg","200, 150"
Eye Infection,"Cough, Dizziness, Pain, Rash","Omeprazole, Paracetamol","Zinetac, Ciplox","10mg, 500mg","200, 100"
Ear Infection,"Shortness of breath, Fever, Itching, Headache","Paracetamol, Ciprofloxacin","Zinetac, Azithral","200mg, 500mg","200, 100"
Hepatitis,"Sweating, Weight loss, Rash, Vomiting","Ibuprofen, Cetirizine","Brufen, Zinetac","500mg, 5mg","100, 75"
Common Cold,"Weight loss, Pain, Rash, Shortness of breath","Cetirizine, Azithromycin","Omez, Flagyl","500mg, 100mg","150, 100"
Epilepsy,"Sweating, Joint pain, Fever, Fatigue","Cetirizine, Ibuprofen","Crocin, Azithral","5mg, 1g","75, 50"
Back Pain,"Shortness of breath, Cough, Dizziness, Fatigue","Ranitidine, Paracetamol","Crocin, Omez","250mg, 100mg","50, 75"
Eye Infection,"Fatigue, Fever, Headache, Shortness of breath","Ciprofloxacin, Azithromycin","Brufen, Zinetac","200mg, 250mg","150, 20"
Acne,"Sore throat, Itching, Cough, Weight loss","Metronidazole, Amoxicillin","Zinetac, Claritine","1g, 10mg","50, 75"
Bronchitis,"Joint pain, Sweating, Headache, Weight loss","Ciprofloxacin, Amoxicillin","Alerid, Flagyl","100mg, 10mg","20, 30"
COVID-19,"Shortness of breath, Cough, Sweating, Weight loss","Paracetamol, Cetirizine","Alerid, Claritine","250mg, 500mg","100, 75"
Gout,"Sore throat, Itching, Fatigue, Dizziness","Paracetamol, Amoxicillin","Brufen, Augmentin","1g, 5mg","200, 150"
Flu,"Pain, Dizziness, Sore throat, Nausea","Loratadine, Amoxicillin","Omez, Alerid","1g, 250mg","75, 100"
Indigestion,"Weight loss, Itching, Fever, Nausea","Azithromycin, Ranitidine","Ciplox, Claritine","500mg, 10mg","30, 50"
Bronchitis,"Joint pain, Chest tightness, Sore throat, Fatigue","Amoxicillin, Paracetamol","Azithral, Crocin","5mg, 250mg","75, 150"
Back Pain,"Fatigue, Sore throat, Headache, Chest tightness","Ciprofloxacin, Azithromycin","Alerid, Flagyl","5mg, 1g","100, 200"
Hepatitis,"Vomiting, Dizziness, Fatigue, Chest tightness","Azithromycin, Amoxicillin","Zinetac, Ciplox","250mg, 100mg","50, 30"
Chickenpox,"Weight loss, Sore throat, Nausea, Rash","Ranitidine, Ciprofloxacin","Crocin, Claritine","5mg, 500mg","75, 30"
Back Pain,"Fatigue, Dizziness, Rash, Sore throat","Loratadine, Cetirizine","Azithral, Augmentin","250mg, 1g","50, 75"
Flu,"Weight loss, Joint pain, Chills, Fatigue","Ciprofloxacin, Omeprazole","Crocin, Ciplox","1g, 500mg","75, 30"
Eye Infection,"Dizziness, Vomiting, Headache, Rash","Metronidazole, Paracetamol","Zinetac, Omez","5mg, 250mg","150, 200"
Hepatitis,"Headache, Sore throat, Joint pain, Pain","Ranitidine, Azithromycin","Claritine, Crocin","250mg, 10mg","30, 50"
HIV,"Fatigue, Chest tightness, Fever, Pain","Ibuprofen, Azithromycin","Alerid, Azithral","10mg, 100mg","100, 150"
Indigestion,"Cough, Rash, Dizziness, Headache","Amoxicillin, Cetirizine","Augmentin, Claritine","5mg, 10mg","200, 150"
Diarrhea,"Sore throat, Dizziness, Sweating, Shortness of breath","Amoxicillin, Metronidazole","Alerid, Augmentin","100mg, 200mg","50, 100"
Constipation,"Shortness of breath, Cough, Dizziness, Chills","Loratadine, Ibuprofen","Ciplox, Brufen","100mg, 250mg","100, 75"
Anxiety,"Weight loss, Chest tightness, Sore throat, Cough","Ibuprofen, Ciprofloxacin","Flagyl, Brufen","100mg, 200mg","100, 75"
Chickenpox,"Sweating, Rash, Fatigue, Chest tightness","Ibuprofen, Loratadine","Ciplox, Alerid","500mg, 10mg","75, 200"
Epilepsy,"Joint pain, Chills, Headache, Fatigue","Cetirizine, Loratadine","Crocin, Claritine","1g, 5mg","20, 150"
Common Cold,"Pain, Chest tightness, Sweating, Joint pain","Ranitidine, Ciprofloxacin","Claritine, Azithral","250mg, 5mg","100, 50"
Hepatitis,"Sweating, Cough, Dizziness, Chest tightness","Paracetamol, Cetirizine","Azithral, Crocin","5mg, 200mg","20, 200"
Depression,"Joint pain, Fever, Sore throat, Shortness of breath","Ranitidine, Omeprazole","Zinetac, Claritine","10mg, 500mg","150, 30"
Indigestion,"Joint pain, Weight loss, Chest tightness, Sore throat","Loratadine, Omeprazole","Claritine, Augmentin","500mg, 250mg","100, 75"
Acne,"Vomiting, Fatigue, Sweating, Dizziness","Loratadine, Omeprazole","Azithral, Zinetac","1g, 250mg","200, 30"
Epilepsy,"Pain, Dizziness, Chills, Joint pain","Omeprazole, Metronidazole","Crocin, Omez","1g, 250mg","200, 100"
Constipation,"Nausea, Chest tightness, Fever, Fatigue","Paracetamol, Metronidazole","Azithral, Alerid","10mg, 5mg","100, 30"
Insomnia,"Itching, Headache, Chest tightness, Shortness of breath","Paracetamol, Ciprofloxacin","Ciplox, Crocin","200mg, 5mg","50, 75"
Ear Infection,"Cough, Dizziness, Pain, Nausea","Omeprazole, Metronidazole","Crocin, Azithral","5mg, 1g","150, 20"
